Time(s),HeartRate(1/min),RespirationRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),MeanArterialPressure(mmHg),OxygenSaturation,CoreTemperature(degC),CardiacOutput(L/min),HeartStrokeVolume(mL),TidalVolume(mL),ArterialBloodPH,AchievedExerciseLevel,FatigueLevelFraction,Glucose-BloodConcentration(mg/dL)
3164.14,94.01,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.44,7.43,0,-1.$,74.01,0
3165.14,94.00,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.46,7.43,0,-1.$,74.02,0
3166.14,94.03,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.46,7.43,0,-1.$,74.03,0
3167.14,94.03,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.46,7.43,0,-1.$,74.05,0
3168.14,94.00,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.46,7.43,0,-1.$,74.06,0
3169.14,93.99,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.50,7.44,0,-1.$,74.07,0
3170.14,94.02,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.50,7.43,0,-1.$,74.09,0
3171.14,94.03,14.56,122.9,88.9,106.5,0.980,36.43,6.37,67.7,537.50,7.43,0,-1.$,74.10,0
3172.14,94.00,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.50,7.44,0,-1.$,74.11,0
3173.14,93.99,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.55,7.44,0,-1.$,74.12,0
3174.14,94.01,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.55,7.44,0,-1.$,74.14,0
3175.14,94.02,14.56,122.9,88.9,106.5,0.980,36.43,6.37,67.7,537.55,7.44,0,-1.$,74.15,0
3176.14,94.00,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.55,7.44,0,-1.$,74.16,0
3177.14,93.99,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.61,7.44,0,-1.$,74.18,0
3178.14,94.00,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.61,7.44,0,-1.$,74.19,0
3179.14,94.02,14.56,122.9,88.9,106.5,0.980,36.43,6.37,67.7,537.61,7.44,0,-1.$,74.20,0
3180.14,94.01,14.56,122.9,88.9,106.5,0.980,36.43,6.37,67.7,537.61,7.44,0,-1.$,74.21,0
3181.14,93.98,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.68,7.44,0,-1.$,74.23,0
3182.14,94.01,14.56,122.9,88.9,106.5,0.980,36.43,6.37,67.7,537.68,7.44,0,-1.$,74.24,0
3183.14,94.02,14.56,122.9,88.9,106.5,0.980,36.43,6.37,67.7,537.68,7.44,0,-1.$,74.25,0
3184.14,93.99,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.68,7.44,0,-1.$,74.26,0
3185.14,93.98,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.77,7.44,0,-1.$,74.28,0
3186.14,93.99,14.56,122.9,88.9,106.5,0.980,36.43,6.37,67.7,537.77,7.44,0,-1.$,74.29,0
3187.14,94.01,14.56,122.9,88.9,106.5,0.980,36.43,6.37,67.7,537.77,7.44,0,-1.$,74.30,0
3188.14,94.00,14.56,122.9,88.9,106.5,0.980,36.43,6.37,67.7,537.77,7.44,0,-1.$,74.31,0
3189.14,93.98,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.86,7.44,0,-1.$,74.33,0
3190.14,93.98,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.86,7.44,0,-1.$,74.34,0
3191.14,94.01,14.56,122.9,88.9,106.5,0.980,36.43,6.37,67.7,537.86,7.44,0,-1.$,74.35,0
3192.14,94.00,14.56,122.9,88.9,106.5,0.980,36.43,6.37,67.7,537.86,7.44,0,-1.$,74.36,0
3193.14,93.97,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.86,7.44,0,-1.$,74.37,0
3194.14,93.97,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.96,7.44,0,-1.$,74.39,0
3195.14,94.00,14.56,122.9,88.9,106.6,0.980,36.43,6.37,67.7,537.96,7.44,0,-1.$,74.40,0
3196.14,94.00,14.56,122.9,88.9,106.6,0.980,36.43,6.37,67.7,537.96,7.44,0,-1.$,74.41,0
3197.14,93.97,14.56,122.9,88.9,106.5,0.980,36.43,6.37,67.7,537.96,7.44,0,-1.$,74.42,0
3198.14,93.97,14.56,122.9,88.9,106.6,0.980,36.43,6.37,67.7,538.08,7.44,0,-1.$,74.43,0
3199.14,93.99,14.56,122.9,88.9,106.6,0.980,36.43,6.37,67.7,538.08,7.44,0,-1.$,74.45,0
3200.14,93.99,14.56,122.9,88.9,106.6,0.980,36.43,6.37,67.7,538.08,7.44,0,-1.$,74.46,0
3201.14,93.97,14.56,122.9,88.9,106.6,0.980,36.43,6.37,67.7,538.08,7.44,0,-1.$,74.47,0
3202.14,93.96,14.56,122.9,88.9,106.6,0.980,36.43,6.37,67.7,538.20,7.44,0,-1.$,74.48,0
3203.14,93.98,14.56,123.0,88.9,106.6,0.980,36.43,6.37,67.8,538.20,7.44,0,-1.$,74.49,0
3204.14,93.99,14.56,123.0,88.9,106.6,0.980,36.43,6.37,67.8,538.20,7.44,0,-1.$,74.50,0
3205.14,93.97,14.56,123.0,88.9,106.6,0.980,36.43,6.37,67.8,538.20,7.44,0,-1.$,74.51,0
3206.14,93.95,14.56,123.0,88.9,106.6,0.980,36.43,6.37,67.8,538.33,7.44,0,-1.$,74.53,0
3207.14,93.98,14.56,123.0,88.9,106.6,0.980,36.43,6.37,67.8,538.33,7.44,0,-1.$,74.54,0
3208.14,93.99,14.56,123.0,88.9,106.6,0.980,36.43,6.37,67.8,538.33,7.44,0,-1.$,74.55,0
3209.14,93.96,14.56,123.0,88.9,106.6,0.980,36.43,6.37,67.8,538.33,7.44,0,-1.$,74.56,0
3210.14,93.95,14.49,123.0,88.9,106.6,0.980,36.43,6.37,67.8,538.30,7.44,0,-1.$,74.57,0
3211.14,93.97,14.49,123.0,88.9,106.6,0.980,36.43,6.37,67.8,538.30,7.44,0,-1.$,74.58,0
3212.14,93.99,14.49,123.0,88.9,106.6,0.980,36.43,6.37,67.8,538.30,7.44,0,-1.$,74.59,0
3213.14,93.96,14.49,123.0,88.9,106.6,0.980,36.43,6.37,67.8,538.30,7.44,0,-1.$,74.60,0
3214.14,93.95,14.49,123.0,88.9,106.6,0.980,36.43,6.37,67.8,534.74,7.44,0,-1.$,74.62,0
3215.14,93.96,14.49,123.0,88.9,106.6,0.980,36.43,6.37,67.8,534.74,7.44,0,-1.$,74.63,0
3216.14,93.98,14.49,123.0,88.9,106.6,0.980,36.43,6.37,67.8,534.74,7.44,0,-1.$,74.64,0
3217.14,93.97,14.49,123.0,88.9,106.6,0.980,36.43,6.37,67.8,534.74,7.44,0,-1.$,74.65,0
3218.14,93.94,14.49,123.0,88.9,106.6,0.980,36.43,6.37,67.8,534.87,7.44,0,-1.$,74.66,0
3219.14,93.95,14.49,123.0,88.9,106.6,0.980,36.43,6.37,67.8,534.87,7.44,0,-1.$,74.67,0
3220.14,93.98,14.49,123.0,88.9,106.6,0.980,36.43,6.37,67.8,534.87,7.44,0,-1.$,74.68,0
3221.14,93.97,14.49,123.0,88.9,106.6,0.980,36.43,6.37,67.8,534.87,7.44,0,-1.$,74.69,0
3222.14,93.94,14.49,123.0,88.9,106.6,0.980,36.43,6.37,67.8,534.87,7.44,0,-1.$,74.70,0
3223.14,93.95,14.49,123.0,88.9,106.6,0.980,36.43,6.37,67.8,535.00,7.44,0,-1.$,74.71,0
3224.14,93.97,14.49,123.0,88.9,106.6,0.980,36.43,6.37,67.8,535.00,7.44,0,-1.$,74.72,0
3225.14,93.95,14.49,123.0,88.9,106.6,0.980,36.43,6.37,67.8,535.00,7.44,0,-1.$,74.73,0
3226.14,93.94,14.49,123.0,88.9,106.6,0.980,36.43,6.37,67.8,535.00,7.44,0,-1.$,74.74,0
3227.14,93.93,14.49,123.0,88.9,106.6,0.980,36.43,6.37,67.8,535.13,7.44,0,-1.$,74.76,0
3228.14,93.95,14.49,123.0,88.9,106.6,0.980,36.43,6.37,67.8,535.13,7.44,0,-1.$,74.77,0
3229.14,93.96,14.49,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.13,7.44,0,-1.$,74.78,0
3230.14,93.92,14.49,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.13,7.44,0,-1.$,74.79,0
3231.14,93.92,14.49,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.25,7.44,0,-1.$,74.80,0
3232.14,93.95,14.49,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.25,7.44,0,-1.$,74.81,0
3233.14,93.96,14.49,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.25,7.44,0,-1.$,74.82,0
3234.14,93.92,14.49,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.25,7.44,0,-1.$,74.83,0
3235.14,93.91,14.49,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.36,7.44,0,-1.$,74.84,0
3236.14,93.94,14.49,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.36,7.44,0,-1.$,74.85,0
3237.14,93.95,14.49,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.36,7.44,0,-1.$,74.86,0
3238.14,93.92,14.49,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.36,7.44,0,-1.$,74.87,0
3239.14,93.91,14.49,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.47,7.44,0,-1.$,74.88,0
3240.14,93.93,14.49,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.47,7.44,0,-1.$,74.89,0
3241.14,93.95,14.49,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.47,7.44,0,-1.$,74.90,0
3242.14,93.93,14.49,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.47,7.44,0,-1.$,74.91,0
3243.14,93.90,14.49,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.59,7.44,0,-1.$,74.92,0
3244.14,93.91,14.49,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.59,7.44,0,-1.$,74.93,0
3245.14,93.94,14.49,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.59,7.44,0,-1.$,74.94,0
3246.14,93.91,14.49,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.59,7.44,0,-1.$,74.95,0
3247.14,93.90,14.49,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.69,7.44,0,-1.$,74.96,0
3248.14,93.92,14.49,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.69,7.44,0,-1.$,74.97,0
3249.14,93.94,14.49,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.69,7.44,0,-1.$,74.98,0
3250.14,93.92,14.49,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.69,7.44,0,-1.$,74.99,0
3251.14,93.90,14.49,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.69,7.44,0,-1.$,75.00,0
3252.14,93.90,14.42,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.63,7.44,0,-1.$,75.01,0
3253.14,93.92,14.42,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.63,7.44,0,-1.$,75.01,0
3254.14,93.92,14.42,123.1,88.9,106.6,0.980,36.42,6.37,67.8,535.63,7.44,0,-1.$,75.02,0
3255.14,93.89,14.42,123.0,88.9,106.6,0.980,36.42,6.37,67.8,535.63,7.44,0,-1.$,75.03,0
3256.14,93.89,14.42,123.1,88.9,106.6,0.980,36.42,6.37,67.8,532.09,7.44,0,-1.$,75.04,0
3257.14,93.93,14.42,123.1,88.9,106.6,0.980,36.42,6.37,67.9,532.09,7.44,0,-1.$,75.05,0
3258.14,93.93,14.42,123.1,88.9,106.6,0.980,36.42,6.37,67.9,532.09,7.44,0,-1.$,75.06,0
3259.14,93.89,14.42,123.1,88.9,106.6,0.980,36.42,6.37,67.9,532.09,7.44,0,-1.$,75.07,0
3260.14,93.89,14.42,123.1,88.9,106.6,0.980,36.42,6.37,67.9,532.19,7.44,0,-1.$,75.08,0
3261.14,93.92,14.42,123.1,88.9,106.6,0.980,36.42,6.37,67.9,532.19,7.44,0,-1.$,75.09,0
3262.14,93.91,14.42,123.1,88.9,106.7,0.980,36.42,6.37,67.9,532.19,7.44,0,-1.$,75.10,0
3263.14,93.89,14.42,123.1,88.9,106.7,0.980,36.42,6.37,67.9,532.19,7.44,0,-1.$,75.11,0
3264.14,93.88,14.42,123.1,88.9,106.7,0.980,36.42,6.37,67.9,532.28,7.44,0,-1.$,75.12,0
3265.14,93.90,14.42,123.1,88.9,106.7,0.980,36.42,6.37,67.9,532.28,7.44,0,-1.$,75.13,0
3266.14,93.92,14.42,123.1,88.9,106.7,0.979,36.42,6.37,67.9,532.28,7.44,0,-1.$,75.14,0
3267.14,93.90,14.42,123.1,88.9,106.7,0.980,36.42,6.37,67.9,532.28,7.44,0,-1.$,75.15,0
3268.14,93.87,14.42,123.1,88.9,106.7,0.980,36.42,6.37,67.9,532.36,7.44,0,-1.$,75.16,0
3269.14,93.88,14.42,123.1,88.9,106.7,0.980,36.42,6.37,67.9,532.36,7.44,0,-1.$,75.16,0
3270.14,93.91,14.42,123.1,88.9,106.7,0.979,36.42,6.37,67.9,532.36,7.44,0,-1.$,75.17,0
3271.14,93.88,14.42,123.1,88.9,106.7,0.979,36.42,6.37,67.9,532.36,7.44,0,-1.$,75.18,0
3272.14,93.87,14.42,123.1,88.9,106.7,0.980,36.42,6.37,67.9,532.43,7.44,0,-1.$,75.19,0
3273.14,93.89,14.42,123.1,88.9,106.7,0.979,36.42,6.37,67.9,532.43,7.44,0,-1.$,75.20,0
3274.14,93.90,14.42,123.1,88.9,106.7,0.979,36.42,6.37,67.9,532.43,7.44,0,-1.$,75.21,0
3275.14,93.88,14.42,123.1,88.9,106.7,0.979,36.42,6.37,67.9,532.43,7.44,0,-1.$,75.22,0
3276.14,93.87,14.42,123.1,88.9,106.7,0.979,36.42,6.37,67.9,532.49,7.44,0,-1.$,75.23,0
3277.14,93.87,14.42,123.1,88.9,106.7,0.979,36.42,6.37,67.9,532.49,7.44,0,-1.$,75.24,0
3278.14,93.90,14.42,123.1,89.0,106.7,0.979,36.42,6.37,67.9,532.49,7.44,0,-1.$,75.24,0
3279.14,93.89,14.42,123.1,89.0,106.7,0.979,36.42,6.37,67.9,532.49,7.44,0,-1.$,75.25,0
3280.14,93.86,14.42,123.1,89.0,106.7,0.979,36.42,6.37,67.9,532.49,7.44,0,-1.$,75.26,0
3281.14,93.86,14.42,123.1,89.0,106.7,0.979,36.42,6.37,67.9,532.54,7.44,0,-1.$,75.27,0
3282.14,93.89,14.42,123.1,89.0,106.7,0.979,36.42,6.37,67.9,532.54,7.44,0,-1.$,75.28,0
3283.14,93.89,14.42,123.1,89.0,106.7,0.979,36.42,6.37,67.9,532.54,7.44,0,-1.$,75.29,0
3284.14,93.86,14.42,123.1,89.0,106.7,0.979,36.42,6.37,67.9,532.54,7.44,0,-1.$,75.30,0
3285.14,93.85,14.42,123.1,89.0,106.7,0.979,36.42,6.37,67.9,532.59,7.44,0,-1.$,75.30,0
3286.14,93.88,14.42,123.1,89.0,106.7,0.979,36.42,6.37,67.9,532.59,7.44,0,-1.$,75.31,0
3287.14,93.88,14.42,123.1,89.0,106.7,0.979,36.42,6.37,67.9,532.59,7.44,0,-1.$,75.32,0
3288.14,93.86,14.42,123.1,89.0,106.7,0.979,36.42,6.37,67.9,532.59,7.44,0,-1.$,75.33,0
3289.14,93.85,14.42,123.1,89.0,106.7,0.979,36.42,6.37,67.9,532.63,7.44,0,-1.$,75.34,0
3290.14,93.86,14.42,123.1,89.0,106.7,0.979,36.42,6.37,67.9,532.63,7.44,0,-1.$,75.34,0
3291.14,93.88,14.42,123.1,89.0,106.7,0.979,36.42,6.38,67.9,532.63,7.44,0,-1.$,75.35,0
3292.14,93.86,14.42,123.1,89.0,106.7,0.979,36.42,6.37,67.9,532.63,7.44,0,-1.$,75.36,0
3293.14,93.84,14.42,123.1,89.0,106.7,0.979,36.42,6.37,67.9,532.67,7.44,0,-1.$,75.37,0
3294.14,93.87,14.42,123.2,89.0,106.7,0.979,36.42,6.37,67.9,532.67,7.44,0,-1.$,75.38,0
3295.14,93.88,14.42,123.2,89.0,106.7,0.979,36.42,6.38,67.9,532.67,7.44,0,-1.$,75.38,0
3296.14,93.85,14.42,123.2,89.0,106.7,0.979,36.42,6.37,67.9,532.67,7.44,0,-1.$,75.39,0
3297.14,93.84,14.42,123.2,89.0,106.7,0.979,36.42,6.37,67.9,532.70,7.44,0,-1.$,75.40,0
3298.14,93.85,14.42,123.2,89.0,106.7,0.979,36.42,6.37,67.9,532.70,7.44,0,-1.$,75.41,0
3299.14,93.87,14.42,123.2,89.0,106.7,0.979,36.42,6.38,67.9,532.70,7.44,0,-1.$,75.41,0
3300.14,93.85,14.42,123.2,89.0,106.7,0.979,36.42,6.37,67.9,532.70,7.44,0,-1.$,75.42,0
3301.14,93.84,14.42,123.2,89.0,106.7,0.979,36.42,6.37,67.9,532.73,7.44,0,-1.$,75.43,0
3302.14,93.84,14.42,123.2,89.0,106.7,0.979,36.42,6.37,67.9,532.73,7.44,0,-1.$,75.43,0
3303.14,93.87,14.42,123.2,89.0,106.7,0.979,36.42,6.38,67.9,532.73,7.44,0,-1.$,75.44,0
3304.14,93.86,14.42,123.2,89.0,106.7,0.979,36.42,6.38,67.9,532.73,7.44,0,-1.$,75.45,0
3305.14,93.83,14.42,123.2,89.0,106.7,0.979,36.42,6.37,67.9,532.73,7.44,0,-1.$,75.45,0
3306.14,93.83,14.42,123.2,89.0,106.7,0.979,36.42,6.37,67.9,532.76,7.44,0,-1.$,75.46,0
3307.14,93.86,14.42,123.2,89.0,106.7,0.979,36.42,6.38,67.9,532.76,7.44,0,-1.$,75.47,0
3308.14,93.86,14.42,123.2,89.0,106.7,0.979,36.42,6.38,67.9,532.76,7.44,0,-1.$,75.47,0
3309.14,93.83,14.42,123.2,89.0,106.7,0.979,36.42,6.37,67.9,532.76,7.44,0,-1.$,75.48,0
3310.14,93.83,14.42,123.2,89.0,106.8,0.979,36.42,6.37,67.9,532.79,7.44,0,-1.$,75.49,0
3311.14,93.85,14.42,123.2,89.0,106.8,0.979,36.42,6.38,67.9,532.79,7.44,0,-1.$,75.49,0
3312.14,93.85,14.42,123.2,89.0,106.8,0.979,36.42,6.38,67.9,532.79,7.44,0,-1.$,75.50,0
3313.14,93.83,14.42,123.2,89.0,106.8,0.979,36.42,6.37,67.9,532.79,7.44,0,-1.$,75.51,0
3314.14,93.82,14.42,123.2,89.0,106.8,0.979,36.42,6.37,67.9,532.82,7.44,0,-1.$,75.51,0
3315.14,93.83,14.42,123.2,89.0,106.8,0.979,36.42,6.37,67.9,532.82,7.44,0,-1.$,75.52,0
3316.14,93.85,14.42,123.2,89.0,106.8,0.979,36.42,6.38,67.9,532.82,7.44,0,-1.$,75.53,0
3317.14,93.83,14.42,123.2,89.0,106.8,0.979,36.42,6.38,67.9,532.82,7.44,0,-1.$,75.53,0
3318.14,93.81,14.42,123.2,89.0,106.8,0.979,36.42,6.37,67.9,532.84,7.44,0,-1.$,75.54,0
3319.14,93.84,14.42,123.2,89.0,106.8,0.979,36.42,6.38,67.9,532.84,7.44,0,-1.$,75.54,0
3320.14,93.85,14.42,123.2,89.0,106.8,0.979,36.42,6.38,67.9,532.84,7.44,0,-1.$,75.55,0
3321.14,93.82,14.42,123.2,89.0,106.8,0.979,36.41,6.37,67.9,532.84,7.44,0,-1.$,75.56,0
3322.14,93.80,14.35,123.2,89.0,106.8,0.979,36.41,6.37,67.9,532.86,7.44,0,-1.$,75.56,0
3323.14,93.82,14.35,123.2,89.0,106.8,0.979,36.41,6.38,68.0,532.86,7.44,0,-1.$,75.57,0
3324.14,93.84,14.35,123.2,89.0,106.8,0.979,36.41,6.38,68.0,532.86,7.44,0,-1.$,75.57,0
3325.14,93.82,14.35,123.2,89.0,106.8,0.979,36.41,6.38,68.0,532.86,7.44,0,-1.$,75.58,0
3326.14,93.80,14.35,123.2,89.0,106.8,0.979,36.41,6.37,68.0,529.14,7.44,0,-1.$,75.58,0
3327.14,93.81,14.35,123.2,89.0,106.8,0.979,36.41,6.37,68.0,529.14,7.44,0,-1.$,75.59,0
3328.14,93.84,14.35,123.2,89.0,106.8,0.979,36.41,6.38,68.0,529.14,7.44,0,-1.$,75.60,0
3329.14,93.83,14.35,123.2,89.0,106.8,0.979,36.41,6.38,68.0,529.14,7.44,0,-1.$,75.60,0
3330.14,93.80,14.35,123.2,89.0,106.8,0.979,36.41,6.37,68.0,529.14,7.44,0,-1.$,75.61,0
3331.14,93.80,14.35,123.2,89.0,106.8,0.979,36.41,6.37,68.0,529.15,7.44,0,-1.$,75.61,0
3332.14,93.83,14.35,123.2,89.0,106.8,0.979,36.41,6.38,68.0,529.15,7.44,0,-1.$,75.62,0
3333.14,93.83,14.35,123.2,89.0,106.8,0.979,36.41,6.38,68.0,529.15,7.44,0,-1.$,75.62,0
3334.14,93.80,14.35,123.2,89.0,106.8,0.979,36.41,6.37,68.0,529.15,7.44,0,-1.$,75.63,0
3335.14,93.80,14.35,123.2,89.0,106.8,0.979,36.41,6.38,68.0,529.16,7.44,0,-1.$,75.63,0
3336.14,93.81,14.35,123.3,89.0,106.8,0.979,36.41,6.38,68.0,529.16,7.44,0,-1.$,75.64,0
3337.14,93.82,14.35,123.3,89.1,106.8,0.979,36.41,6.38,68.0,529.16,7.44,0,-1.$,75.65,0
3338.14,93.80,14.35,123.3,89.0,106.8,0.979,36.41,6.38,68.0,529.16,7.44,0,-1.$,75.65,0
3339.14,93.78,14.35,123.3,89.0,106.8,0.979,36.41,6.37,68.0,529.16,7.44,0,-1.$,75.66,0
3340.14,93.80,14.35,123.3,89.1,106.8,0.979,36.41,6.38,68.0,529.16,7.44,0,-1.$,75.66,0
3341.14,93.82,14.35,123.3,89.1,106.8,0.979,36.41,6.38,68.0,529.16,7.44,0,-1.$,75.67,0
3342.14,93.78,14.35,123.3,89.1,106.8,0.979,36.41,6.37,68.0,529.16,7.44,0,-1.$,75.67,0
3343.14,93.78,14.35,123.3,89.1,106.8,0.979,36.41,6.37,68.0,529.16,7.44,0,-1.$,75.68,0
3344.14,93.80,14.35,123.3,89.1,106.8,0.979,36.41,6.38,68.0,529.16,7.44,0,-1.$,75.68,0
3345.14,93.81,14.35,123.3,89.1,106.8,0.979,36.41,6.38,68.0,529.16,7.44,0,-1.$,75.69,0
3346.14,93.79,14.35,123.3,89.1,106.8,0.979,36.41,6.38,68.0,529.16,7.44,0,-1.$,75.69,0
3347.14,93.77,14.35,123.3,89.1,106.8,0.979,36.41,6.37,68.0,529.14,7.44,0,-1.$,75.70,0
3348.14,93.78,14.35,123.3,89.1,106.8,0.979,36.41,6.38,68.0,529.14,7.44,0,-1.$,75.70,0
3349.14,93.80,14.35,123.3,89.1,106.8,0.979,36.41,6.38,68.0,529.14,7.44,0,-1.$,75.70,0
3350.14,93.79,14.35,123.3,89.1,106.8,0.979,36.41,6.38,68.0,529.14,7.44,0,-1.$,75.71,0
3351.14,93.76,14.35,123.3,89.1,106.8,0.979,36.41,6.37,68.0,529.14,7.44,0,-1.$,75.71,0
3352.14,93.77,14.35,123.3,89.1,106.9,0.979,36.41,6.38,68.0,529.12,7.44,0,-1.$,75.72,0
3353.14,93.80,14.35,123.3,89.1,106.9,0.979,36.41,6.38,68.0,529.12,7.44,0,-1.$,75.72,0
3354.14,93.79,14.35,123.3,89.1,106.9,0.979,36.41,6.38,68.0,529.12,7.44,0,-1.$,75.73,0
3355.14,93.76,14.35,123.3,89.1,106.9,0.979,36.41,6.38,68.0,529.12,7.44,0,-1.$,75.73,0
3356.14,93.76,14.35,123.3,89.1,106.9,0.979,36.41,6.38,68.0,529.09,7.44,0,-1.$,75.73,0
3357.14,93.79,14.35,123.3,89.1,106.9,0.979,36.41,6.38,68.0,529.09,7.44,0,-1.$,75.74,0
