Time(s),HeartRate(1/min),RespirationRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),MeanArterialPressure(mmHg),OxygenSaturation,CoreTemperature(degC),CardiacOutput(L/min),HeartStrokeVolume(mL),TidalVolume(mL),ArterialBloodPH,AchievedExerciseLevel,FatigueLevelFraction,Glucose-BloodConcentration(mg/dL)
3139.14,94.03,14.56,122.9,88.9,106.5,0.980,36.44,6.36,67.6,537.68,7.43,0,-1.$,73.67,0
3140.14,94.01,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.6,537.60,7.43,0,-1.$,73.69,0
3141.14,94.03,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.6,537.60,7.43,0,-1.$,73.70,0
3142.14,94.05,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.6,537.60,7.43,0,-1.$,73.71,0
3143.14,94.02,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.6,537.60,7.43,0,-1.$,73.73,0
3144.14,94.01,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.6,537.52,7.43,0,-1.$,73.74,0
3145.14,94.03,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.6,537.52,7.43,0,-1.$,73.75,0
3146.14,94.05,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.6,537.52,7.43,0,-1.$,73.77,0
3147.14,94.03,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.6,537.52,7.43,0,-1.$,73.78,0
3148.14,94.01,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.6,537.47,7.43,0,-1.$,73.79,0
3149.14,94.02,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.6,537.47,7.43,0,-1.$,73.81,0
3150.14,94.05,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.47,7.43,0,-1.$,73.82,0
3151.14,94.03,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.47,7.43,0,-1.$,73.83,0
3152.14,94.01,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.44,7.43,0,-1.$,73.85,0
3153.14,94.01,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.44,7.43,0,-1.$,73.86,0
3154.14,94.05,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.44,7.43,0,-1.$,73.87,0
3155.14,94.04,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.44,7.43,0,-1.$,73.89,0
3156.14,94.00,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.44,7.43,0,-1.$,73.90,0
3157.14,94.01,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.43,7.43,0,-1.$,73.91,0
3158.14,94.04,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.43,7.43,0,-1.$,73.93,0
3159.14,94.02,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.43,7.43,0,-1.$,73.94,0
3160.14,94.01,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.43,7.43,0,-1.$,73.95,0
3161.14,94.01,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.44,7.43,0,-1.$,73.97,0
3162.14,94.03,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.44,7.43,0,-1.$,73.98,0
3163.14,94.03,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.7,537.44,7.43,0,-1.$,73.99,0
