Time(s),HeartRate(1/min),RespirationRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),MeanArterialPressure(mmHg),OxygenSaturation,CoreTemperature(degC),CardiacOutput(L/min),HeartStrokeVolume(mL),TidalVolume(mL),ArterialBloodPH,AchievedExerciseLevel,FatigueLevelFraction,Glucose-BloodConcentration(mg/dL)
3139.14,94.03,14.56,122.9,88.9,106.5,0.980,36.44,6.36,67.6,537.68,7.43,0,-1.$,73.67,0
3140.14,94.08,14.56,122.9,88.9,106.5,0.980,36.43,6.36,67.6,537.53,7.43,0,-1.$,73.69,0
3141.14,94.17,14.56,122.9,88.9,106.5,0.980,36.43,6.37,67.7,537.53,7.43,0,-1.$,73.70,0
3142.14,94.56,14.56,123.0,89.0,106.6,0.980,36.43,6.40,67.7,537.53,7.43,0,-1.$,73.71,0
3143.14,95.36,14.56,123.2,89.1,106.7,0.980,36.43,6.47,67.8,537.53,7.43,0,-1.$,73.73,0
3144.14,95.96,15.15,123.3,89.2,106.8,0.980,36.43,6.52,67.9,538.25,7.43,0,-1.$,73.74,0
3145.14,97.22,15.15,123.6,89.5,107.5,0.980,36.43,6.61,68.0,538.25,7.43,0,-1.$,73.75,0
3146.14,97.70,15.15,124.3,90.6,108.1,0.980,36.43,6.59,67.4,538.25,7.43,0,-1.$,73.76,0
3147.14,98.16,18.63,124.6,91.1,108.4,0.980,36.43,6.59,67.1,528.45,7.43,0,-1.$,73.78,0
3148.14,98.21,18.63,124.6,91.2,108.4,0.980,36.43,6.58,67.0,528.45,7.43,0,-1.$,73.79,0
3149.14,98.23,18.63,124.6,91.2,108.4,0.980,36.43,6.58,67.0,528.45,7.43,0,-1.$,73.80,0
3150.14,98.24,19.23,124.6,91.2,108.4,0.980,36.43,6.58,67.0,529.47,7.44,0,-1.$,73.82,0
3151.14,98.25,19.23,124.6,91.2,108.4,0.980,36.43,6.58,66.9,529.47,7.44,0,-1.$,73.83,0
3152.14,98.30,19.23,124.5,91.2,108.4,0.980,36.43,6.58,66.9,529.47,7.44,0,-1.$,73.84,0
3153.14,98.31,19.23,124.5,91.2,108.4,0.980,36.43,6.57,66.9,526.97,7.44,0,-1.$,73.86,0
3154.14,98.32,19.23,124.5,91.2,108.3,0.980,36.43,6.57,66.8,526.97,7.44,0,-1.$,73.87,0
3155.14,98.38,19.23,124.4,91.1,108.3,0.980,36.43,6.57,66.8,526.97,7.44,0,-1.$,73.88,0
3156.14,98.39,19.23,124.4,91.1,108.3,0.981,36.43,6.57,66.8,526.97,7.44,0,-1.$,73.90,0
3157.14,98.41,19.23,124.4,91.1,108.3,0.981,36.43,6.57,66.8,526.95,7.44,0,-1.$,73.91,0
3158.14,98.47,19.23,124.3,91.1,108.2,0.981,36.43,6.57,66.7,526.95,7.45,0,-1.$,73.92,0
3159.14,98.49,19.23,124.3,91.0,108.2,0.981,36.43,6.57,66.7,526.95,7.45,0,-1.$,73.94,0
3160.14,98.52,19.23,124.3,91.0,108.1,0.981,36.43,6.57,66.7,526.97,7.45,0,-1.$,73.95,0
3161.14,98.81,19.23,124.2,91.0,108.1,0.981,36.43,6.59,66.6,526.97,7.45,0,-1.$,73.96,0
3162.14,98.89,19.23,124.2,91.0,108.1,0.981,36.43,6.59,66.6,526.97,7.45,0,-1.$,73.98,0
3163.14,98.98,19.23,124.2,91.0,108.0,0.981,36.43,6.60,66.7,527.02,7.45,0,-1.$,73.99,0
