Time(s),HeartRate(1/min),RespirationRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),MeanArterialPressure(mmHg),OxygenSaturation,CoreTemperature(degC),CardiacOutput(L/min),HeartStrokeVolume(mL),TidalVolume(mL),ArterialBloodPH,AchievedExerciseLevel,FatigueLevelFraction,Glucose-BloodConcentration(mg/dL)
3164.14,99.03,19.23,124.2,91.0,108.0,0.981,36.43,6.60,66.7,527.02,7.45,0,-1.$,74.00,0
3165.14,99.07,19.23,124.2,90.9,108.0,0.982,36.43,6.61,66.7,527.02,7.45,0,-1.$,74.02,0
3166.14,99.09,19.11,124.2,90.9,108.0,0.982,36.43,6.61,66.7,526.67,7.45,0,-1.$,74.03,0
3167.14,99.11,19.11,124.2,90.9,108.0,0.982,36.43,6.61,66.7,526.67,7.46,0,-1.$,74.04,0
3168.14,99.11,19.11,124.2,90.9,108.0,0.982,36.43,6.61,66.7,526.67,7.46,0,-1.$,74.05,0
3169.14,99.11,19.11,124.2,90.9,108.0,0.982,36.43,6.61,66.7,523.63,7.46,0,-1.$,74.06,0
3170.14,99.12,19.11,124.2,90.9,108.0,0.982,36.43,6.62,66.7,523.63,7.46,0,-1.$,74.08,0
3171.14,99.13,19.11,124.2,90.9,108.0,0.982,36.43,6.62,66.7,523.63,7.46,0,-1.$,74.09,0
3172.14,99.13,18.99,124.1,90.9,108.0,0.982,36.43,6.62,66.7,523.47,7.46,0,-1.$,74.10,0
3173.14,99.15,18.99,124.1,90.9,107.9,0.982,36.43,6.62,66.7,523.47,7.46,0,-1.$,74.11,0
3174.14,99.16,18.99,124.1,90.8,107.9,0.982,36.43,6.62,66.7,523.47,7.46,0,-1.$,74.13,0
3175.14,99.16,18.99,124.1,90.8,107.9,0.982,36.43,6.62,66.7,520.34,7.46,0,-1.$,74.14,0
3176.14,99.18,18.99,124.1,90.8,107.9,0.982,36.43,6.62,66.7,520.34,7.46,0,-1.$,74.15,0
3177.14,99.20,18.99,124.1,90.8,107.9,0.982,36.43,6.62,66.7,520.34,7.46,0,-1.$,74.16,0
3178.14,99.19,18.99,124.0,90.8,107.8,0.982,36.43,6.62,66.7,520.34,7.46,0,-1.$,74.17,0
3179.14,99.21,18.87,124.0,90.8,107.8,0.982,36.43,6.62,66.7,519.77,7.46,0,-1.$,74.19,0
3180.14,99.22,18.87,124.0,90.8,107.8,0.982,36.43,6.62,66.7,519.77,7.46,0,-1.$,74.20,0
3181.14,99.22,18.87,124.0,90.7,107.8,0.982,36.43,6.62,66.7,519.77,7.46,0,-1.$,74.21,0
3182.14,99.21,18.87,124.0,90.7,107.8,0.982,36.43,6.62,66.7,517.15,7.46,0,-1.$,74.22,0
3183.14,99.24,18.87,124.0,90.7,107.8,0.983,36.43,6.62,66.7,517.15,7.46,0,-1.$,74.23,0
3184.14,99.23,18.87,124.0,90.7,107.8,0.983,36.43,6.62,66.7,517.15,7.46,0,-1.$,74.25,0
3185.14,99.22,18.75,124.0,90.7,107.8,0.983,36.43,6.62,66.7,515.82,7.46,0,-1.$,74.26,0
3186.14,99.25,18.75,124.0,90.7,107.8,0.983,36.43,6.62,66.7,515.82,7.46,0,-1.$,74.27,0
3187.14,99.25,18.75,124.0,90.7,107.8,0.983,36.43,6.62,66.7,515.82,7.46,0,-1.$,74.28,0
3188.14,99.23,18.63,124.0,90.7,107.8,0.983,36.43,6.62,66.7,513.29,7.46,0,-1.$,74.29,0
3189.14,99.25,18.63,124.0,90.7,107.8,0.983,36.43,6.62,66.7,513.29,7.46,0,-1.$,74.31,0
3190.14,99.25,18.63,124.0,90.7,107.8,0.983,36.43,6.62,66.7,513.29,7.46,0,-1.$,74.32,0
3191.14,99.23,18.52,124.0,90.7,107.8,0.983,36.43,6.62,66.7,510.76,7.46,0,-1.$,74.33,0
3192.14,99.24,18.52,124.0,90.7,107.8,0.983,36.43,6.62,66.7,510.76,7.46,0,-1.$,74.34,0
3193.14,99.26,18.52,124.0,90.7,107.8,0.983,36.43,6.62,66.7,510.76,7.46,0,-1.$,74.35,0
3194.14,99.23,18.52,124.0,90.7,107.7,0.983,36.43,6.62,66.7,510.76,7.46,0,-1.$,74.37,0
3195.14,99.23,18.52,124.0,90.7,107.7,0.983,36.43,6.62,66.7,507.62,7.47,0,-1.$,74.38,0
3196.14,99.25,18.52,124.0,90.7,107.7,0.983,36.43,6.62,66.7,507.62,7.46,0,-1.$,74.39,0
3197.14,99.23,18.52,123.9,90.7,107.7,0.983,36.43,6.62,66.7,507.62,7.47,0,-1.$,74.40,0
3198.14,99.23,18.40,123.9,90.7,107.7,0.983,36.43,6.62,66.7,506.70,7.47,0,-1.$,74.41,0
3199.14,99.24,18.40,124.0,90.7,107.7,0.983,36.43,6.62,66.7,506.70,7.47,0,-1.$,74.42,0
3200.14,99.24,18.40,123.9,90.7,107.7,0.983,36.43,6.62,66.7,506.70,7.47,0,-1.$,74.44,0
3201.14,99.22,18.29,123.9,90.7,107.7,0.983,36.43,6.62,66.7,504.22,7.47,0,-1.$,74.45,0
3202.14,99.23,18.29,124.0,90.7,107.7,0.983,36.43,6.62,66.7,504.22,7.47,0,-1.$,74.46,0
3203.14,99.24,18.29,124.0,90.7,107.7,0.983,36.43,6.62,66.7,504.22,7.47,0,-1.$,74.47,0
3204.14,99.22,18.29,123.9,90.7,107.7,0.983,36.43,6.62,66.7,501.51,7.47,0,-1.$,74.48,0
3205.14,99.22,18.29,124.0,90.7,107.7,0.983,36.43,6.62,66.7,501.51,7.47,0,-1.$,74.49,0
3206.14,99.23,18.29,124.0,90.7,107.7,0.983,36.43,6.62,66.7,501.51,7.47,0,-1.$,74.50,0
3207.14,99.21,18.29,124.0,90.7,107.7,0.983,36.43,6.62,66.7,501.51,7.47,0,-1.$,74.52,0
3208.14,99.20,18.18,124.0,90.7,107.7,0.983,36.43,6.62,66.7,500.30,7.47,0,-1.$,74.53,0
3209.14,99.22,18.18,124.0,90.7,107.7,0.983,36.43,6.62,66.7,500.30,7.47,0,-1.$,74.54,0
3210.14,99.21,18.18,124.0,90.7,107.7,0.983,36.43,6.62,66.7,500.30,7.47,0,-1.$,74.55,0
3211.14,99.20,18.07,124.0,90.7,107.7,0.983,36.43,6.62,66.8,497.95,7.47,0,-1.$,74.56,0
3212.14,99.21,18.07,124.0,90.7,107.8,0.983,36.43,6.62,66.7,497.95,7.47,0,-1.$,74.57,0
3213.14,99.22,18.07,124.0,90.7,107.8,0.983,36.43,6.62,66.7,497.95,7.47,0,-1.$,74.58,0
3214.14,99.19,18.07,124.0,90.7,107.8,0.983,36.43,6.62,66.8,495.54,7.47,0,-1.$,74.59,0
3215.14,99.20,18.07,124.0,90.7,107.8,0.983,36.43,6.62,66.8,495.54,7.47,0,-1.$,74.61,0
3216.14,99.21,18.07,124.0,90.7,107.8,0.983,36.43,6.62,66.8,495.54,7.47,0,-1.$,74.62,0
3217.14,99.19,18.07,124.0,90.7,107.8,0.983,36.43,6.62,66.8,495.54,7.47,0,-1.$,74.63,0
3218.14,99.18,17.96,124.0,90.7,107.8,0.983,36.43,6.62,66.8,494.29,7.47,0,-1.$,74.64,0
3219.14,99.20,17.96,124.0,90.7,107.8,0.983,36.42,6.62,66.8,494.29,7.46,0,-1.$,74.65,0
3220.14,99.18,17.96,124.0,90.7,107.8,0.983,36.42,6.62,66.8,494.29,7.47,0,-1.$,74.66,0
3221.14,99.17,17.86,124.0,90.7,107.8,0.983,36.42,6.62,66.8,492.10,7.47,0,-1.$,74.67,0
3222.14,99.18,17.86,124.0,90.7,107.8,0.983,36.42,6.62,66.8,492.10,7.46,0,-1.$,74.68,0
3223.14,99.18,17.86,124.0,90.7,107.8,0.983,36.42,6.62,66.8,492.10,7.46,0,-1.$,74.69,0
3224.14,99.17,17.86,124.0,90.7,107.8,0.983,36.42,6.62,66.8,489.68,7.46,0,-1.$,74.70,0
3225.14,99.17,17.86,124.0,90.7,107.8,0.983,36.42,6.62,66.8,489.68,7.46,0,-1.$,74.71,0
3226.14,99.18,17.86,124.0,90.7,107.8,0.982,36.42,6.62,66.8,489.68,7.46,0,-1.$,74.73,0
3227.14,99.16,17.86,124.0,90.7,107.8,0.982,36.42,6.62,66.8,489.68,7.46,0,-1.$,74.74,0
3228.14,99.15,17.75,124.0,90.7,107.8,0.982,36.42,6.62,66.8,488.77,7.46,0,-1.$,74.75,0
3229.14,99.17,17.75,124.0,90.7,107.8,0.982,36.42,6.62,66.8,488.77,7.46,0,-1.$,74.76,0
3230.14,99.16,17.75,124.0,90.7,107.8,0.982,36.42,6.62,66.8,488.77,7.46,0,-1.$,74.77,0
3231.14,99.15,17.65,124.0,90.7,107.8,0.982,36.42,6.62,66.8,486.80,7.46,0,-1.$,74.78,0
3232.14,99.15,17.65,124.0,90.7,107.8,0.982,36.42,6.62,66.8,486.80,7.46,0,-1.$,74.79,0
3233.14,99.16,17.65,124.0,90.7,107.8,0.982,36.42,6.62,66.8,486.80,7.46,0,-1.$,74.80,0
3234.14,99.14,17.65,124.0,90.7,107.8,0.982,36.42,6.62,66.8,486.80,7.46,0,-1.$,74.81,0
3235.14,99.14,17.65,124.0,90.7,107.8,0.982,36.42,6.62,66.8,483.94,7.46,0,-1.$,74.82,0
3236.14,99.15,17.65,124.0,90.7,107.8,0.982,36.42,6.62,66.8,483.94,7.46,0,-1.$,74.83,0
3237.14,99.14,17.65,124.0,90.7,107.8,0.982,36.42,6.62,66.8,483.94,7.46,0,-1.$,74.84,0
3238.14,99.12,17.54,124.0,90.7,107.8,0.982,36.42,6.62,66.8,483.86,7.46,0,-1.$,74.85,0
3239.14,99.13,17.54,124.1,90.7,107.8,0.982,36.42,6.62,66.8,483.86,7.46,0,-1.$,74.86,0
3240.14,99.14,17.54,124.1,90.7,107.8,0.982,36.42,6.62,66.8,483.86,7.46,0,-1.$,74.87,0
3241.14,99.11,17.54,124.1,90.7,107.8,0.982,36.42,6.62,66.8,483.86,7.46,0,-1.$,74.88,0
3242.14,99.12,17.54,124.1,90.7,107.9,0.982,36.42,6.62,66.8,481.12,7.46,0,-1.$,74.89,0
3243.14,99.13,17.54,124.1,90.7,107.9,0.982,36.42,6.62,66.8,481.12,7.46,0,-1.$,74.90,0
3244.14,99.12,17.54,124.1,90.7,107.9,0.982,36.42,6.62,66.8,481.12,7.46,0,-1.$,74.91,0
3245.14,99.10,17.54,124.1,90.8,107.9,0.982,36.42,6.62,66.8,481.14,7.46,0,-1.$,74.92,0
3246.14,99.12,17.54,124.1,90.8,107.9,0.982,36.42,6.62,66.8,481.14,7.46,0,-1.$,74.93,0
3247.14,99.12,17.54,124.1,90.8,107.9,0.982,36.42,6.62,66.8,481.14,7.46,0,-1.$,74.94,0
3248.14,99.09,17.44,124.1,90.8,107.9,0.982,36.42,6.62,66.8,480.37,7.46,0,-1.$,74.95,0
3249.14,99.10,17.44,124.1,90.8,107.9,0.982,36.42,6.62,66.8,480.37,7.46,0,-1.$,74.96,0
3250.14,99.11,17.44,124.1,90.8,107.9,0.982,36.42,6.62,66.8,480.37,7.46,0,-1.$,74.97,0
3251.14,99.09,17.44,124.1,90.8,107.9,0.982,36.42,6.62,66.8,480.37,7.46,0,-1.$,74.98,0
3252.14,99.08,17.44,124.1,90.8,107.9,0.982,36.42,6.62,66.8,478.32,7.46,0,-1.$,74.99,0
3253.14,99.11,17.44,124.1,90.8,107.9,0.982,36.42,6.62,66.8,478.32,7.46,0,-1.$,75.00,0
3254.14,99.09,17.44,124.1,90.8,107.9,0.982,36.42,6.62,66.8,478.32,7.46,0,-1.$,75.01,0
3255.14,99.08,17.34,124.1,90.8,107.9,0.982,36.42,6.62,66.8,478.13,7.46,0,-1.$,75.02,0
3256.14,99.09,17.34,124.1,90.8,107.9,0.982,36.42,6.62,66.8,478.13,7.46,0,-1.$,75.03,0
3257.14,99.10,17.34,124.1,90.8,107.9,0.982,36.42,6.62,66.8,478.13,7.46,0,-1.$,75.04,0
3258.14,99.08,17.34,124.1,90.8,107.9,0.982,36.42,6.62,66.8,478.13,7.46,0,-1.$,75.05,0
3259.14,99.08,17.34,124.1,90.8,107.9,0.982,36.42,6.62,66.8,475.52,7.46,0,-1.$,75.06,0
3260.14,99.09,17.34,124.1,90.8,107.9,0.982,36.42,6.62,66.8,475.52,7.46,0,-1.$,75.07,0
3261.14,99.08,17.34,124.1,90.8,107.9,0.982,36.42,6.62,66.8,475.52,7.46,0,-1.$,75.08,0
3262.14,99.06,17.34,124.1,90.8,107.9,0.982,36.42,6.62,66.8,475.51,7.46,0,-1.$,75.09,0
3263.14,99.07,17.34,124.2,90.8,107.9,0.982,36.42,6.62,66.8,475.51,7.46,0,-1.$,75.10,0
3264.14,99.08,17.34,124.2,90.8,107.9,0.982,36.42,6.62,66.8,475.51,7.46,0,-1.$,75.11,0
3265.14,99.06,17.34,124.2,90.8,107.9,0.982,36.42,6.62,66.8,475.51,7.46,0,-1.$,75.12,0
3266.14,99.06,17.34,124.2,90.8,108.0,0.982,36.42,6.62,66.8,475.50,7.46,0,-1.$,75.13,0
3267.14,99.07,17.34,124.2,90.8,108.0,0.982,36.42,6.62,66.8,475.50,7.46,0,-1.$,75.14,0
3268.14,99.06,17.34,124.2,90.8,108.0,0.981,36.42,6.62,66.8,475.50,7.46,0,-1.$,75.15,0
3269.14,99.04,17.24,124.2,90.8,108.0,0.981,36.42,6.62,66.8,475.17,7.46,0,-1.$,75.16,0
3270.14,99.05,17.24,124.2,90.9,108.0,0.981,36.42,6.62,66.8,475.17,7.46,0,-1.$,75.17,0
3271.14,99.06,17.24,124.2,90.9,108.0,0.981,36.42,6.62,66.8,475.17,7.46,0,-1.$,75.18,0
3272.14,99.04,17.24,124.2,90.9,108.0,0.981,36.42,6.62,66.8,475.17,7.46,0,-1.$,75.19,0
3273.14,99.04,17.24,124.2,90.9,108.0,0.981,36.42,6.62,66.8,472.72,7.46,0,-1.$,75.20,0
3274.14,99.06,17.24,124.2,90.9,108.0,0.981,36.42,6.62,66.8,472.72,7.46,0,-1.$,75.20,0
3275.14,99.05,17.24,124.2,90.9,108.0,0.981,36.42,6.62,66.8,472.72,7.46,0,-1.$,75.21,0
3276.14,99.03,17.24,124.2,90.9,108.0,0.981,36.42,6.62,66.8,472.69,7.46,0,-1.$,75.22,0
3277.14,99.05,17.24,124.2,90.9,108.0,0.981,36.42,6.62,66.8,472.69,7.46,0,-1.$,75.23,0
3278.14,99.05,17.24,124.2,90.9,108.0,0.981,36.42,6.62,66.8,472.69,7.46,0,-1.$,75.24,0
3279.14,99.03,17.24,124.2,90.9,108.0,0.981,36.42,6.62,66.8,472.69,7.46,0,-1.$,75.25,0
3280.14,99.03,17.24,124.2,90.9,108.0,0.981,36.42,6.62,66.8,472.66,7.46,0,-1.$,75.26,0
3281.14,99.05,17.24,124.2,90.9,108.0,0.981,36.42,6.62,66.8,472.66,7.46,0,-1.$,75.27,0
3282.14,99.03,17.24,124.2,90.9,108.0,0.981,36.42,6.62,66.8,472.66,7.46,0,-1.$,75.28,0
3283.14,99.02,17.24,124.2,90.9,108.0,0.981,36.42,6.62,66.8,472.63,7.46,0,-1.$,75.28,0
3284.14,99.04,17.24,124.2,90.9,108.0,0.981,36.42,6.62,66.8,472.63,7.46,0,-1.$,75.29,0
3285.14,99.03,17.24,124.2,90.9,108.0,0.981,36.42,6.62,66.8,472.63,7.46,0,-1.$,75.30,0
3286.14,99.02,17.24,124.2,90.9,108.0,0.981,36.42,6.62,66.8,472.63,7.46,0,-1.$,75.31,0
3287.14,99.02,17.24,124.2,90.9,108.0,0.981,36.42,6.62,66.8,472.60,7.46,0,-1.$,75.32,0
3288.14,99.03,17.24,124.3,90.9,108.0,0.981,36.42,6.62,66.8,472.60,7.46,0,-1.$,75.33,0
3289.14,99.02,17.24,124.3,90.9,108.0,0.981,36.42,6.62,66.8,472.60,7.46,0,-1.$,75.34,0
3290.14,99.01,17.24,124.3,90.9,108.1,0.981,36.42,6.62,66.8,472.57,7.46,0,-1.$,75.34,0
3291.14,99.02,17.24,124.3,90.9,108.1,0.981,36.42,6.62,66.8,472.57,7.46,0,-1.$,75.35,0
3292.14,99.02,17.24,124.3,90.9,108.1,0.981,36.42,6.62,66.8,472.57,7.46,0,-1.$,75.36,0
3293.14,99.01,17.24,124.3,90.9,108.1,0.981,36.42,6.62,66.8,472.53,7.46,0,-1.$,75.37,0
3294.14,99.01,17.24,124.3,90.9,108.1,0.981,36.42,6.62,66.8,472.53,7.46,0,-1.$,75.38,0
3295.14,99.02,17.24,124.3,90.9,108.1,0.981,36.42,6.62,66.8,472.53,7.46,0,-1.$,75.38,0
3296.14,99.01,17.24,124.3,90.9,108.1,0.981,36.42,6.62,66.9,472.53,7.46,0,-1.$,75.39,0
3297.14,99.00,17.24,124.3,90.9,108.1,0.981,36.42,6.62,66.9,472.50,7.46,0,-1.$,75.40,0
3298.14,99.02,17.24,124.3,91.0,108.1,0.981,36.42,6.62,66.8,472.50,7.46,0,-1.$,75.41,0
3299.14,99.02,17.24,124.3,91.0,108.1,0.981,36.42,6.62,66.9,472.50,7.46,0,-1.$,75.41,0
3300.14,98.99,17.24,124.3,91.0,108.1,0.981,36.42,6.62,66.9,472.46,7.46,0,-1.$,75.42,0
3301.14,99.00,17.24,124.3,91.0,108.1,0.981,36.42,6.62,66.9,472.46,7.46,0,-1.$,75.43,0
3302.14,99.02,17.24,124.3,91.0,108.1,0.981,36.42,6.62,66.9,472.46,7.46,0,-1.$,75.44,0
3303.14,98.99,17.24,124.3,91.0,108.1,0.981,36.42,6.62,66.9,472.46,7.46,0,-1.$,75.44,0
3304.14,98.99,17.24,124.3,91.0,108.1,0.981,36.42,6.62,66.9,472.42,7.46,0,-1.$,75.45,0
3305.14,99.01,17.24,124.3,91.0,108.1,0.981,36.41,6.62,66.9,472.42,7.46,0,-1.$,75.46,0
3306.14,99.01,17.24,124.3,91.0,108.1,0.981,36.41,6.62,66.9,472.42,7.46,0,-1.$,75.46,0
3307.14,98.99,17.24,124.3,91.0,108.1,0.981,36.41,6.62,66.9,472.38,7.46,0,-1.$,75.47,0
3308.14,99.00,17.24,124.3,91.0,108.1,0.981,36.41,6.62,66.9,472.38,7.46,0,-1.$,75.48,0
3309.14,99.01,17.24,124.3,91.0,108.1,0.981,36.41,6.62,66.9,472.38,7.46,0,-1.$,75.48,0
3310.14,98.99,17.24,124.3,91.0,108.1,0.981,36.41,6.62,66.9,472.38,7.46,0,-1.$,75.49,0
3311.14,98.98,17.24,124.3,91.0,108.1,0.981,36.41,6.62,66.9,472.33,7.46,0,-1.$,75.50,0
3312.14,99.00,17.24,124.3,91.0,108.1,0.981,36.41,6.62,66.9,472.33,7.46,0,-1.$,75.50,0
3313.14,98.99,17.24,124.3,91.0,108.1,0.981,36.41,6.62,66.9,472.33,7.46,0,-1.$,75.51,0
3314.14,98.98,17.24,124.3,91.0,108.1,0.981,36.41,6.62,66.9,472.29,7.46,0,-1.$,75.52,0
3315.14,98.99,17.24,124.3,91.0,108.1,0.981,36.41,6.62,66.9,472.29,7.46,0,-1.$,75.52,0
3316.14,99.00,17.24,124.3,91.0,108.1,0.981,36.41,6.62,66.9,472.29,7.46,0,-1.$,75.53,0
3317.14,98.98,17.24,124.3,91.0,108.1,0.981,36.41,6.62,66.9,472.29,7.46,0,-1.$,75.54,0
3318.14,98.97,17.24,124.3,91.0,108.1,0.981,36.41,6.62,66.9,472.25,7.46,0,-1.$,75.54,0
3319.14,98.99,17.24,124.3,91.0,108.1,0.981,36.41,6.62,66.9,472.25,7.46,0,-1.$,75.55,0
3320.14,98.99,17.24,124.3,91.0,108.1,0.981,36.41,6.62,66.9,472.25,7.46,0,-1.$,75.56,0
3321.14,98.97,17.24,124.3,91.0,108.1,0.981,36.41,6.62,66.9,472.20,7.46,0,-1.$,75.56,0
3322.14,98.97,17.24,124.4,91.0,108.2,0.981,36.41,6.62,66.9,472.20,7.46,0,-1.$,75.57,0
3323.14,98.99,17.24,124.4,91.0,108.2,0.981,36.41,6.62,66.9,472.20,7.46,0,-1.$,75.57,0
3324.14,98.98,17.24,124.4,91.0,108.2,0.981,36.41,6.62,66.9,472.20,7.46,0,-1.$,75.58,0
3325.14,98.96,17.24,124.4,91.0,108.2,0.981,36.41,6.62,66.9,472.16,7.46,0,-1.$,75.59,0
3326.14,98.99,17.24,124.4,91.0,108.2,0.981,36.41,6.62,66.9,472.16,7.46,0,-1.$,75.59,0
3327.14,98.98,17.24,124.4,91.0,108.2,0.981,36.41,6.62,66.9,472.16,7.46,0,-1.$,75.60,0
3328.14,98.96,17.24,124.4,91.0,108.2,0.981,36.41,6.62,66.9,472.11,7.46,0,-1.$,75.60,0
3329.14,98.98,17.24,124.4,91.0,108.2,0.981,36.41,6.62,66.9,472.11,7.46,0,-1.$,75.61,0
3330.14,98.98,17.24,124.4,91.0,108.2,0.981,36.41,6.62,66.9,472.11,7.46,0,-1.$,75.61,0
3331.14,98.96,17.24,124.4,91.0,108.2,0.981,36.41,6.62,66.9,472.11,7.46,0,-1.$,75.62,0
3332.14,98.95,17.24,124.4,91.0,108.2,0.981,36.41,6.62,66.9,472.07,7.46,0,-1.$,75.63,0
3333.14,98.98,17.24,124.4,91.0,108.2,0.981,36.41,6.62,66.9,472.07,7.46,0,-1.$,75.63,0
3334.14,98.96,17.24,124.4,91.0,108.2,0.981,36.41,6.62,66.9,472.07,7.46,0,-1.$,75.64,0
3335.14,98.95,17.24,124.4,91.0,108.2,0.981,36.41,6.62,66.9,472.03,7.46,0,-1.$,75.64,0
3336.14,98.97,17.24,124.4,91.1,108.2,0.981,36.41,6.62,66.9,472.03,7.46,0,-1.$,75.65,0
3337.14,98.98,17.24,124.4,91.1,108.2,0.981,36.41,6.62,66.9,472.03,7.46,0,-1.$,75.65,0
3338.14,98.95,17.24,124.4,91.1,108.2,0.981,36.41,6.62,66.9,472.03,7.46,0,-1.$,75.66,0
3339.14,98.95,17.24,124.4,91.1,108.2,0.981,36.41,6.62,66.9,471.99,7.46,0,-1.$,75.66,0
3340.14,98.97,17.24,124.4,91.1,108.2,0.980,36.41,6.62,66.9,471.99,7.46,0,-1.$,75.67,0
3341.14,98.96,17.24,124.4,91.1,108.2,0.980,36.41,6.62,66.9,471.99,7.46,0,-1.$,75.68,0
3342.14,98.94,17.24,124.4,91.1,108.2,0.981,36.41,6.62,66.9,471.95,7.46,0,-1.$,75.68,0
3343.14,98.95,17.24,124.4,91.1,108.2,0.980,36.41,6.62,66.9,471.95,7.46,0,-1.$,75.69,0
3344.14,98.96,17.24,124.4,91.1,108.2,0.980,36.41,6.62,66.9,471.95,7.46,0,-1.$,75.69,0
3345.14,98.95,17.24,124.4,91.1,108.2,0.980,36.41,6.62,66.9,471.95,7.46,0,-1.$,75.70,0
3346.14,98.94,17.24,124.4,91.1,108.2,0.980,36.41,6.62,66.9,471.91,7.46,0,-1.$,75.70,0
3347.14,98.96,17.24,124.4,91.1,108.2,0.980,36.41,6.62,66.9,471.91,7.46,0,-1.$,75.71,0
3348.14,98.95,17.24,124.4,91.1,108.2,0.980,36.41,6.62,66.9,471.91,7.46,0,-1.$,75.71,0
3349.14,98.93,17.24,124.4,91.1,108.2,0.980,36.41,6.62,66.9,471.88,7.46,0,-1.$,75.72,0
3350.14,98.94,17.24,124.4,91.1,108.2,0.980,36.41,6.62,66.9,471.88,7.46,0,-1.$,75.72,0
3351.14,98.95,17.24,124.4,91.1,108.2,0.980,36.41,6.62,66.9,471.88,7.46,0,-1.$,75.73,0
3352.14,98.93,17.24,124.4,91.1,108.2,0.980,36.41,6.62,66.9,471.88,7.46,0,-1.$,75.73,0
3353.14,98.93,17.24,124.4,91.1,108.2,0.980,36.41,6.62,66.9,471.84,7.46,0,-1.$,75.73,0
3354.14,98.95,17.24,124.4,91.1,108.2,0.980,36.41,6.62,66.9,471.84,7.46,0,-1.$,75.74,0
3355.14,98.94,17.24,124.4,91.1,108.2,0.980,36.41,6.62,66.9,471.84,7.46,0,-1.$,75.74,0
3356.14,98.92,17.24,124.4,91.1,108.2,0.980,36.41,6.62,66.9,471.81,7.46,0,-1.$,75.75,0
3357.14,98.94,17.24,124.4,91.1,108.2,0.980,36.41,6.62,66.9,471.81,7.46,0,-1.$,75.75,0
